City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,escuintla,14.305,-90.785,26.43,97,100,0.71,GT,1727420920
1,okha,53.5739,142.9478,11.38,75,100,3.79,RU,1727420921
2,ola,59.5833,151.2833,7.03,85,57,3.14,RU,1727420922
3,hawaiian paradise park,19.5933,-154.9731,22.73,96,100,2.06,US,1727420924
4,walvis bay,-22.9575,14.5053,14.49,75,85,4.08,NA,1727420925
5,port-aux-francais,-49.35,70.2167,3.33,75,88,15.36,TF,1727420926
6,invercargill,-46.4,168.35,6.68,92,97,1.34,NZ,1727420928
7,bethel,41.3712,-73.414,18.06,89,100,0.45,US,1727420929
8,kone,-21.0595,164.8658,23.14,67,99,1.21,NC,1727420930
9,iqaluit,63.7506,-68.5145,3.72,93,100,1.35,CA,1727420931
10,tiksi,71.6872,128.8694,1.29,99,100,3.42,RU,1727420933
11,adamstown,-25.066,-130.1015,21.17,91,13,4.16,PN,1727420934
12,ribeira grande,38.5167,-28.7,23.22,88,75,6.71,PT,1727420935
13,edinburgh of the seven seas,-37.0676,-12.3116,11.76,86,100,7.47,SH,1727420937
14,waitangi,-43.9535,-176.5597,8.23,75,7,6.71,NZ,1727420938
15,fort bragg,35.139,-79.006,25.11,96,100,3.6,US,1727420939
16,arawa,-6.2132,155.5367,27.27,87,99,1.23,PG,1727420941
17,wailua homesteads,22.0669,-159.378,25.44,72,100,5.66,US,1727420942
18,nova odesa,47.3078,31.7851,22.72,60,54,5.47,UA,1727420943
19,daru,-9.0763,143.2092,26.62,85,100,4.85,PG,1727420945
20,katabu,-4.9333,122.5167,32.36,49,96,1.88,ID,1727420946
21,isafjordur,66.0755,-23.124,3.34,98,100,3.49,IS,1727420947
22,puerto natales,-51.7236,-72.4875,1.74,99,100,2.98,CL,1727420949
23,rio grande,-32.035,-52.0986,15.38,95,100,6.19,BR,1727420950
24,kuta,-8.7233,115.1723,30.97,74,20,5.66,ID,1727420951
25,saipan,15.1355,145.701,28.39,89,75,3.6,MP,1727420874
26,whitehorse,60.7161,-135.0538,0.45,70,8,2.24,CA,1727420765
27,northam,51.0333,-4.2167,10.9,83,100,9.7,GB,1727420955
28,olonkinbyen,70.9221,-8.7187,3.16,85,100,9.82,SJ,1727420956
29,nemuro,43.3236,145.575,16.67,98,100,5.96,JP,1727420872
30,punta arenas,-53.15,-70.9167,3.06,81,0,15.95,CL,1727420959
31,port elizabeth,-33.918,25.5701,19.06,74,5,0.89,ZA,1727420712
32,lazaro cardenas,17.9583,-102.2,25.45,95,100,12.95,MX,1727420961
33,palmer,42.1584,-72.3287,17.51,83,100,0.0,US,1727420963
34,udachny,66.4167,112.4,4.14,57,98,4.06,RU,1727420964
35,san luis de la loma,17.2706,-100.8939,25.42,94,100,4.57,MX,1727420965
36,nili,33.7218,66.1302,24.33,13,0,1.47,AF,1727420967
37,shingu,33.7333,135.9833,25.35,92,100,3.39,JP,1727420969
38,bredasdorp,-34.5322,20.0403,16.91,74,82,1.3,ZA,1727420970
39,bakanas,44.8081,76.2772,14.73,22,0,3.34,KZ,1727420972
